Video_ID,Author,Published At,Comment,cleaned_comment
oYOYvoJqs4Q,@dannymj6815,2025-02-23T07:03:30Z,"Prabowo keseret2 oleh keributan pertarungan antara jokowi dengan pdip,awal mulanya kasus korupsi terungkap, kasus hasto cs terindikasi,pagar laut banten,oligharki merampok kedaulatan NKRI,reshufel kabinet bermasalah.hadehh<br>Agenda jokowi dkk berkolaborasi kebo merah(terindikasi korup)",prabowo keseret2 ribut tarung jokowi pdipawal korupsi ungkap hasto cs terindikasipagar laut bantenoligharki rampok daulat nkrireshufel kabinet bermasalahhadehhbragenda jokowi dkk kolaborasi kebo merahterindikasi korup
oYOYvoJqs4Q,@dannymj6815,2025-02-23T07:03:13Z,"Waspada di susupin agenda jokowi &amp; kebo merah sempak,lalu nanti yg naik presidennya si planga-plongo, ingat ini pernah terjadi ketika gusdur lengser yg naik dr kebo merah. Woii yg cerdas kenapa hadehh",waspada susupin agenda jokowi amp kebo merah sempaklalu presiden si plangaplongo gusdur lengser dr kebo merah woii cerdas hadehh
oYOYvoJqs4Q,@davidnizam3443,2025-02-23T06:57:55Z,Knpa jokowi bilang klo prabowo presiden terkuat gak ad yg keritik. Supaya isu adilin jokowi teralikan biar prabowo yg kena keriting.,knpa jokowi bilang klo prabowo presiden kuat ad keritik supaya isu adilin jokowi terali biar prabowo kena keriting
oYOYvoJqs4Q,@ahmadbaedlowi4086,2025-02-23T06:48:53Z,ANAK BANTENG LAGI NGOCEH,anak banteng lagi ngoceh
oYOYvoJqs4Q,@SamsuddinST,2025-02-23T06:43:09Z,Bang karni jangan lagi undang eks koruptor yang cari panggung tidak ada manfaatnya 😅😅😅😅,bang karni undang eks koruptor cari panggung manfaat
oYOYvoJqs4Q,@dahlanismail5440,2025-02-23T06:36:41Z,adek amrobi iya2 aja padahal dulu pembela sejati ...lawaaakkk,adek amrobi iya2 aja bela sejati lawaaakkk
oYOYvoJqs4Q,@hsssisopirbentor7399,2025-02-23T06:24:43Z,BAPAK  JOKOWIDODO  SUKSES  SELALU  DENGAN  RAHMAT  ALLAH  SWT.❤❤❤❤❤❤❤❤❤❤❤.,bapak jokowidodo sukses selalu dengan rahmat allah swt
oYOYvoJqs4Q,@faidsyah2922,2025-02-23T06:23:41Z,Buka mata bos. Indonesia ekonomi terbesar no 8 dan no 1 asean. Yg gelap itu otak kalian. Demo tu adili megawati. Sebab. Jual indosat. Pulau. Kasus blbi. Ektp. pagar laut. Dan sah  kan ruu prampasan aset koruptor,buka mata bos indonesia ekonomi besar no 8 no 1 asean yg gelap otak demo tu adil megawati sebab jual indosat pulau kasus blbi ektp pagar laut dan sah ruu prampasan aset koruptor
oYOYvoJqs4Q,@Menot-u6c,2025-02-23T06:09:23Z,Saya udah prediksi...ucapan Jokowi  ke Prabowo GK ada yg kritik..pasti akan di Oalah&quot;..biar Jokowi jdi kambing hitam,saya udah prediksiucapan jokowi prabowo gk kritikpasti oalahquotbiar jokowi jdi kambing hitam
oYOYvoJqs4Q,@asepirawan6699,2025-02-23T06:09:18Z,JOKOWI LAGI.. JOKOWI LAGI YG DISALAHKAN.... <br>EMANG PA JOKOWI NGOMONG BGTU SALAH.....???????<br>KNPA DIBILANGIN PA JOKOWI NGOMPORIN...????? <br>DASAR BAJINGAN2 POLITIK KLO BACOT SAKAREPE DEWEK....,jokowi lagi jokowi lagi yg salah bremang pa jokowi ngomong bgtu salahbrknpa dibilangin pa jokowi ngomporin brdasar bajingan2 politik klo bacot sakarepe dewek
oYOYvoJqs4Q,@BambangSuliswantoro,2025-02-23T06:07:09Z,Babi2 torus lgi ngoce.,babi2 torus lgi ngoce
oYOYvoJqs4Q,@Yunterhutagaol,2025-02-23T06:03:29Z,Dedi sitorus lappet....menggiring opini....provokator...😅😅,dedi sitorus lappetmenggiring opiniprovokator
oYOYvoJqs4Q,@Yunterhutagaol,2025-02-23T06:00:50Z,"Masih menyerang JOKOWI...😅😅,,,, BABAK BELUR....PORAK PORANDA...😅😅",masih serang jokowi babak belurporak poranda
oYOYvoJqs4Q,@ahmadzaky3206,2025-02-23T06:00:03Z,"Kalau tau bongkar dong, jangan nanggung jadi oposisi. Semangat pak ded",kalau tau bongkar nanggung oposisi semangat ded
oYOYvoJqs4Q,@IwanMurdani,2025-02-23T05:53:53Z,"PDIP benar2 partai penghasut,pengadu domba,pemecah belah,penyebar hoax.",pdip benar2 partai penghasutpengadu dombapemecah belahpenyebar hoax
oYOYvoJqs4Q,@suprojabangndeso7588,2025-02-23T05:45:41Z,Yang provokasi jokowi jadi mahasiswa di suruh demo atas izinya jokowi,yang provokasi jokowi mahasiswa suruh demo izinya jokowi
oYOYvoJqs4Q,@AYh-h5y,2025-02-23T05:32:30Z,Ga ada yg ditakuti di didunia ini kalo membela kebenaran hanya satu Allah swt mahasiwa dan rakyat siap berjuang demi keadilan dan kesejahteraan rakyat,ga takut dunia kalo bela benar allah swt mahasiwa rakyat juang adil sejahtera rakyat
oYOYvoJqs4Q,@kojek5155,2025-02-23T05:32:13Z,L A W A N !!!!,l a w a n
